absorptif|ab·sorp·tif [a] bersifat menyerap
abstain|ab·stain 1 [v] tidak memberikan suara (dl pemungutan suara)
abstinensi|ab·sti·nen·si [n] pemantangan thd makanan, minuman, atau perilaku seksual
abstrak|1:ab·strak [a] tidak berwujud
abstrak|2:ab·strak [n] ikhtisar (karangan, laporan, dsb)
abstraksi|ab·strak·si [n] 1. proses atau perbuatan memisahkan
absurd|ab·surd [a] tidak masuk akal
absurdisme|ab·surd·is·me [n] paham (aliran) yg didasarkan pd kepercayaan bahwa manusia secara umum tidak berarti dan tidak masuk akal (kesadaran para pengikut aliran itu thd tata tertib sering berbenturan dng kepentingan masyarakat umum)
abtar|ab·tar [a] kudung
abu|1:abu [n] 1. sisa yg tinggal setelah suatu barang mengalami pembakaran lengkap: --<i> rokok
abu|2:abu [Ar n] bapak
abu|3:abu [v] kalah (dl permainan congkak, gasing)
abu-abu|1:abu-abu 1[n] warna antara hitam dan putih (serupa dng warna abu kayu bakar)
abu-abu|2:abu-abu [n] ikan laut, <i>Neothunnus rarua
abuan|abu·an [n] 1. bagian hasil sawah yg disediakan untuk yg mengerjakan
abuh|1:abuh [Jw a] bengkak
abuh|2:abuh [a] riuh
abuk|1:abuk [n] serbuk (tt barang yg lumat halus spt tepung)
abuk|2:abuk [n] rambut: --<i> kaki
abuk|3:abuk [v], meng·a·buk [v] mengambil atau mengakui barang orang lain sbg miliknya
abuk-abuk|abuk-abuk [n] kue yg dibuat dr tepung aren
abul|abul [v] membayar ganti rugi
abulhayat|a·bul·ha·yat [n] 1. bapak kehidupan
abulia|abu·lia [n Dok] keadaan kehilangan atau berkurangnya daya kemauan, inisiatif, atau dorongan
abun-abun|abun-abun [ark n] angan-angan
abur|abur [a] boros
abus|1:abus [n] 1. mata uang timah yg terkecil zaman dahulu, harganya sepersepuluh duit
abus|2:abus [v kas] mampus: --<i> lah kamu sekalian
acah|1:acah [v], ber·a·cah-a·cah [v] bermain-main
acah|2:acah, meng·a·cah [v] melanggar: <i>orang yg ~ perintah akan dihukum
acah|3:acah, peng·a·cah [Bl] gamelan jenis gender dng bilah-bilah spt pomade, tetapi hanya enam buah dan dimainkan dng sebuah alat berbentuk palu
acak|1:acak 1. [a] tanpa pola
acak|2:acak [a cak] acap
acala|aca·la [n Ark] arca yg tidak dapat dipindah-pindahkan, biasanya dibuat dr batu dan diletakkan di tempat yg paling suci dl rumah perdewaan
acan|1:acan [kl], meng·a·can [v] mengharapkan
acan|2:acan ? 1. cah
acang|acang [n Lay] perkakas kecil yg gunanya untuk menunjukkan keadaan air dl ketel dsb
acang-acang|acang-acang [n] orang kepercayaan
acap|1:acap [a] 1. kerap
acap|2:acap [v] 1. masuk dalam-dalam: <i>keris itu pun -- lah
acap kali|acap ka·li [a] berulang kali
acar|acar [n] makanan bercuka dr irisan buah mentimun, wortel, bawang, cabai, nanas, bengkuang, atau daun sawi, biasa dimakan bersama nasi
acara|1:aca·ra [n] 1. hal atau pokok yg akan dibicarakan (dl rapat, perundingan, dsb)
acara|2:aca·ra [Jw v] , meng·a·ca·ra·kan [v] mempersilakan (duduk, makan, dsb)
acaram|aca·ram [n] 1. [kl] cincin
acat|acat [Jk] acat·an [n] bahan pakaian sisa penjualan yg panjangnya kurang dr satu meter yg dijual dng harga lebih murah
acau|acau, meng·a·cau [v] berkata tidak keruan
acawi|aca·wi [kl n] tukang kayu
acerang|ace·rang [Jk n] tumbuhan, daunnya untuk obat
aci|1:aci [a] sah
aci|2:aci [n] pati
aci|3:aci, meng·a·ci [v] menghaluskan plester tembok atau tembok dng semen bercampur air
aci|4:aci ? acik
aci-aci|1:aci-aci [n] umpama
aci-aci|2:aci-aci [n Lay] kayu panjang untuk menggulung layar
aci-aci|3:aci-aci [n] -- kalimat pola kalimat
acik|acik [ark n] panggilan untuk perempuan yg lebih tua, spt kakak perempuan
aco|aco, meng·a·co [v] 1. berkata tidak keruan
acu|1:acu [v], meng·a·cu [v] menuang (kue, peluru, dsb)
acu|2:acu [v], meng·a·cu [v] 1. mengangkat atau mengacungkan (tinju, senjata, dsb) untuk mengancam atau menakut-nakuti: <i>ia membentak sambil ~ hendak menikam
acuh|acuh [v] peduli
acum|acum [v] meng·a·cum [v] 1. menghasut: <i>dialah yg ~ kedua bersaudara itu supaya berselisih
acung|1:acung [v], meng·a·cung [v] mengangkat ke atas untuk menunjukkan diri (tt tangan): <i>ketika guru mengabsen, terlihat tangan ~ menandakan yg dipanggil itu hadir
acung|2:acung [Mk v]meng·a·cung [v] menyepak
ad interim|ad in·te·rim [Lt a] untuk sementara waktu: <i>selama berada di luar negeri, ia ditunjuk sbg menteri --
